,game_date,home_team,away_team,city,distance_from_last_location_home_team,distance_from_last_location_away_team
95,2000-04-09,TBA,CLE,St. Petersburg,7290.366266978277,7149.567186517731
96,2000-04-09,TEX,TOR,Arlington,0.0,1962.346778824636
97,2000-04-10,CHN,ATL,Chicago,10159.00877586389,945.6790244705923
98,2000-04-10,COL,CIN,Denver,1950.2528819683787,1760.4983271764347
99,2000-04-10,HOU,SLN,Houston,1830.9507633957282,1092.9069898924142
100,2000-04-10,MIL,FLO,Milwaukee,522.3574047614876,2040.0795026569813
101,2000-04-10,PHI,NYN,Philadelphia,3351.29798207518,10900.258450525153
102,2000-04-10,SDN,ARI,San Diego,3915.39807350928,481.91831795421524
103,2000-04-10,ANA,TOR,Anaheim,0.0,3486.7220172564316
104,2000-04-10,KCA,MIN,Kansas City,1365.4101499105916,661.7636302695871
105,2000-04-10,OAK,CLE,Oakland,0.0,3941.189395311595
106,2000-04-11,COL,CIN,Denver,1950.2528819683787,1760.4983271764347
107,2000-04-11,HOU,SLN,Houston,1830.9507633957282,1092.9069898924142
108,2000-04-11,PIT,MON,Pittsburgh,0.0,767.9248983675883
109,2000-04-11,SDN,ARI,San Diego,3915.39807350928,481.91831795421524
110,2000-04-11,SFN,LAN,San Francisco,4175.4954817182615,4093.804290596401
111,2000-04-11,ANA,TOR,Anaheim,0.0,3486.7220172564316
112,2000-04-11,BOS,MIN,Boston,4010.9713255337056,1808.5725574126475
113,2000-04-11,DET,SEA,Detroit,3353.596216190899,3119.28311679125
114,2000-04-11,KCA,BAL,Kansas City,1365.4101499105916,1549.7463213541632
115,2000-04-11,OAK,CLE,Oakland,0.0,3941.189395311595
116,2000-04-11,TBA,CHA,St. Petersburg,7290.366266978277,8659.376167766673
117,2000-04-12,CHN,ATL,Chicago,10159.00877586389,945.6790244705923
118,2000-04-12,COL,CIN,Denver,1950.2528819683787,1760.4983271764347
119,2000-04-12,HOU,SLN,Houston,1830.9507633957282,1092.9069898924142
120,2000-04-12,MIL,FLO,Milwaukee,522.3574047614876,2040.0795026569813
121,2000-04-12,PHI,NYN,Philadelphia,3351.29798207518,10900.258450525153
122,2000-04-12,PIT,MON,Pittsburgh,0.0,767.9248983675883
123,2000-04-12,SDN,ARI,San Diego,3915.39807350928,481.91831795421524
124,2000-04-12,SFN,LAN,San Francisco,4175.4954817182615,4093.804290596401
125,2000-04-12,ANA,TOR,Anaheim,0.0,3486.7220172564316
126,2000-04-12,BOS,MIN,Boston,4010.9713255337056,1808.5725574126475
127,2000-04-12,DET,SEA,Detroit,3353.596216190899,3119.28311679125
128,2000-04-12,KCA,BAL,Kansas City,1365.4101499105916,1549.7463213541632
129,2000-04-12,NYA,TEX,New York,3926.295550369479,2236.777011410713
130,2000-04-12,OAK,CLE,Oakland,0.0,3941.189395311595
131,2000-04-12,TBA,CHA,St. Petersburg,7290.366266978277,8659.376167766673
132,2000-04-13,CHN,ATL,Chicago,10159.00877586389,945.6790244705923
133,2000-04-13,COL,SLN,Denver,1950.2528819683787,1282.6821196902445
134,2000-04-13,MIL,FLO,Milwaukee,522.3574047614876,2040.0795026569813
135,2000-04-13,PHI,NYN,Philadelphia,3351.29798207518,10900.258450525153
136,2000-04-13,PIT,MON,Pittsburgh,0.0,767.9248983675883
137,2000-04-13,SDN,ARI,San Diego,3915.39807350928,481.91831795421524
138,2000-04-13,SFN,LAN,San Francisco,4175.4954817182615,4093.804290596401
139,2000-04-13,BOS,MIN,Boston,4010.9713255337056,1808.5725574126475
140,2000-04-13,DET,SEA,Detroit,3353.596216190899,3119.28311679125
141,2000-04-13,KCA,BAL,Kansas City,1365.4101499105916,1549.7463213541632
142,2000-04-13,NYA,TEX,New York,3926.295550369479,2236.777011410713
143,2000-04-13,TBA,CHA,St. Petersburg,7290.366266978277,8659.376167766673
144,2000-04-14,CHN,FLO,Chicago,10159.00877586389,1911.921733357871
145,2000-04-14,COL,SLN,Denver,1950.2528819683787,1282.6821196902445
146,2000-04-14,LAN,CIN,Los Angeles,3974.8856076394213,3052.3320812157895
147,2000-04-14,MIL,ATL,Milwaukee,522.3574047614876,1075.7017562557248
148,2000-04-14,PHI,MON,Philadelphia,3351.29798207518,630.2126068683555
149,2000-04-14,PIT,NYN,Pittsburgh,0.0,10649.560452929449
150,2000-04-14,SDN,HOU,San Diego,3915.39807350928,3408.447657724276
151,2000-04-14,SFN,ARI,San Francisco,4175.4954817182615,1052.42576183561
152,2000-04-14,BOS,OAK,Boston,4010.9713255337056,4330.993319347035
153,2000-04-14,CHA,ANA,Chicago,1315.6827805633404,2793.736054665992
154,2000-04-14,CLE,TEX,Cleveland,496.24153962192827,1675.8388644162544
155,2000-04-14,DET,TBA,Detroit,3353.596216190899,874.4497225862725
156,2000-04-14,MIN,BAL,Minneapolis,0.0,1511.137712694077
157,2000-04-14,NYA,KCA,New York,3926.295550369479,551.2472669034609
158,2000-04-14,TOR,SEA,Toronto,0.0,3334.1735367384895
159,2000-04-15,CHN,FLO,Chicago,10159.00877586389,1911.921733357871
160,2000-04-15,LAN,CIN,Los Angeles,3974.8856076394213,3052.3320812157895
161,2000-04-15,MIL,ATL,Milwaukee,522.3574047614876,1075.7017562557248
162,2000-04-15,PIT,NYN,Pittsburgh,0.0,10649.560452929449
163,2000-04-15,SDN,HOU,San Diego,3915.39807350928,3408.447657724276
164,2000-04-15,SFN,ARI,San Francisco,4175.4954817182615,1052.42576183561
165,2000-04-15,BOS,OAK,Boston,4010.9713255337056,4330.993319347035
166,2000-04-15,CHA,ANA,Chicago,1315.6827805633404,2793.736054665992
167,2000-04-15,CLE,TEX,Cleveland,496.24153962192827,1675.8388644162544
168,2000-04-15,DET,TBA,Detroit,3353.596216190899,874.4497225862725
169,2000-04-15,MIN,BAL,Minneapolis,0.0,1511.137712694077
170,2000-04-15,NYA,KCA,New York,3926.295550369479,551.2472669034609
171,2000-04-15,TOR,SEA,Toronto,0.0,3334.1735367384895
172,2000-04-16,CHN,FLO,Chicago,10159.00877586389,1911.921733357871
173,2000-04-16,COL,SLN,Denver,1950.2528819683787,1282.6821196902445
174,2000-04-16,COL,SLN,Denver,1950.2528819683787,1282.6821196902445
175,2000-04-16,LAN,CIN,Los Angeles,3974.8856076394213,3052.3320812157895
176,2000-04-16,MIL,ATL,Milwaukee,522.3574047614876,1075.7017562557248
177,2000-04-16,PHI,MON,Philadelphia,3351.29798207518,630.2126068683555
178,2000-04-16,PIT,NYN,Pittsburgh,0.0,10649.560452929449
179,2000-04-16,SDN,HOU,San Diego,3915.39807350928,3408.447657724276
180,2000-04-16,BOS,OAK,Boston,4010.9713255337056,4330.993319347035
