,Unnamed: 0,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp
33,33,20000405,SLN,CHN,False,10,4,STL09,Busch Stadium II,St. Louis,MO,38,6,3,0,0,22,3,2,2,41,3,6,1,2,19,6,4,0
34,34,20000405,ANA,NYA,False,12,6,ANA01,Angel Stadium of Anaheim,Anaheim,CA,40,8,3,0,2,22,5,0,0,44,7,4,0,1,19,4,8,1
35,35,20000405,BAL,CLE,False,11,7,BAL12,Oriole Park at Camden Yards,Baltimore,MD,40,8,1,0,1,21,5,4,0,40,7,2,0,3,18,4,5,1
36,36,20000405,MIN,TBA,False,10,7,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,41,8,4,0,1,17,8,3,0,39,8,3,0,1,21,4,2,0
37,37,20000405,OAK,DET,True,8,2,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,35,6,0,0,0,21,4,3,1,36,6,2,0,2,18,6,2,0
38,38,20000405,SEA,BOS,False,9,3,SEA03,Safeco Field,Seattle,WA,38,5,1,0,3,19,7,3,0,42,5,0,1,3,15,9,8,1
39,39,20000405,TEX,CHA,True,8,12,ARL02,Rangers Ballpark in Arlington,Arlington,TX,51,7,7,0,1,20,7,9,0,41,10,1,0,2,18,8,2,0
40,40,20000405,TOR,KCA,False,3,4,TOR02,Rogers Centre,Toronto,ONT,37,4,0,0,3,22,4,4,0,36,3,1,0,1,20,5,5,1
41,41,20000406,ARI,PHI,False,3,2,PHO01,Chase Field,Phoenix,AZ,43,7,1,0,0,25,8,2,0,43,6,0,0,1,22,7,7,0
42,42,20000406,CIN,MIL,False,5,1,CIN08,Cinergy Field,Cincinnati,OH,36,4,4,0,0,19,7,2,0,32,3,2,0,2,15,7,3,0
43,43,20000406,FLO,SFN,True,5,4,MIA01,Sun Life Stadium,Miami,FL,40,4,1,0,2,21,5,7,0,39,5,1,0,2,16,10,5,0
44,44,20000406,MON,LAN,False,11,3,MON02,Stade Olympique,Montreal,QUE,35,3,3,0,0,21,5,1,2,42,7,4,0,3,19,5,3,1
45,45,20000406,NYN,SDN,False,5,8,NYC17,Shea Stadium,New York,NY,42,5,2,2,1,20,8,4,0,42,6,1,0,1,20,8,5,1
46,46,20000406,PIT,HOU,True,10,1,PIT07,Three Rivers Stadium,Pittsburgh,PA,31,0,2,0,0,18,8,3,0,44,9,4,1,2,15,9,4,0
47,47,20000406,SLN,CHN,True,13,3,STL09,Busch Stadium II,St. Louis,MO,35,4,1,0,1,20,6,2,1,42,6,1,0,4,16,8,6,1
48,48,20000406,BAL,CLE,False,6,2,BAL12,Oriole Park at Camden Yards,Baltimore,MD,37,5,1,0,0,21,5,5,0,36,6,2,0,2,18,5,3,0
49,49,20000406,MIN,TBA,True,6,7,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,37,7,1,1,1,20,7,0,0,41,8,5,0,0,19,6,2,1
50,50,20000406,SEA,BOS,False,5,2,SEA03,Safeco Field,Seattle,WA,37,7,0,0,1,17,8,4,0,37,4,1,0,2,19,3,8,0
51,51,20000406,TEX,CHA,False,2,6,ARL02,Rangers Ballpark in Arlington,Arlington,TX,38,6,2,0,3,20,5,1,1,35,5,1,0,0,23,4,2,0
52,52,20000406,TOR,KCA,True,3,9,TOR02,Rogers Centre,Toronto,ONT,49,14,3,0,0,17,8,7,0,34,1,2,0,2,25,2,1,1
53,53,20000407,ARI,PIT,False,2,7,PHO01,Chase Field,Phoenix,AZ,41,7,5,0,0,22,5,2,0,34,3,3,0,1,21,5,1,0
54,54,20000407,ATL,SFN,False,2,6,ATL02,Turner Field,Atlanta,GA,37,4,1,0,3,22,5,2,0,39,7,1,0,2,21,6,2,0
55,55,20000407,CIN,CHN,False,6,10,CIN08,Cinergy Field,Cincinnati,OH,41,3,2,0,3,16,13,4,0,40,5,1,0,2,22,5,5,0
56,56,20000407,FLO,COL,False,4,3,MIA01,Sun Life Stadium,Miami,FL,34,4,1,0,2,18,6,3,0,32,1,2,2,0,15,7,5,0
57,57,20000407,HOU,PHI,False,1,4,HOU03,Minute Maid Park,Houston,TX,35,3,1,0,2,21,5,3,0,32,4,0,0,1,20,5,2,0
58,58,20000407,MON,SDN,False,5,10,MON02,Stade Olympique,Montreal,QUE,45,10,1,0,2,22,7,1,2,39,8,4,0,0,19,6,2,0
59,59,20000407,NYN,LAN,False,2,1,NYC17,Shea Stadium,New York,NY,33,2,1,0,1,20,7,2,0,34,1,1,0,0,17,6,8,1
