,game_date,home_team,away_team,is_day_game,running_bool_count_home,running_bool_count_away
132,20000413,CHN,ATL,True,1.0,5.0
133,20000413,COL,SLN,False,1.0,10.0
134,20000413,MIL,FLO,False,3.0,5.0
135,20000413,PHI,NYN,False,3.0,8.0
136,20000413,PIT,MON,False,7.0,7.0
137,20000413,SDN,ARI,True,1.0,5.0
138,20000413,SFN,LAN,False,1.0,9.0
139,20000413,BOS,MIN,False,3.0,8.0
140,20000413,DET,SEA,False,9.0,7.0
141,20000413,KCA,BAL,True,1.0,5.0
142,20000413,NYA,TEX,False,1.0,3.0
143,20000413,TBA,CHA,True,1.0,10.0
144,20000414,CHN,FLO,True,2.0,6.0
145,20000414,COL,SLN,False,1.0,11.0
146,20000414,LAN,CIN,True,1.0,6.0
147,20000414,MIL,ATL,False,1.0,6.0
148,20000414,PHI,MON,False,4.0,8.0
149,20000414,PIT,NYN,False,8.0,9.0
150,20000414,SDN,HOU,False,2.0,2.0
151,20000414,SFN,ARI,False,2.0,6.0
152,20000414,BOS,OAK,False,4.0,4.0
153,20000414,CHA,ANA,False,11.0,3.0
154,20000414,CLE,TEX,True,1.0,4.0
155,20000414,DET,TBA,False,1.0,2.0
156,20000414,MIN,BAL,False,9.0,6.0
157,20000414,NYA,KCA,False,2.0,2.0
158,20000414,TOR,SEA,False,8.0,8.0
159,20000415,CHN,FLO,True,1.0,7.0
160,20000415,LAN,CIN,False,1.0,7.0
161,20000415,MIL,ATL,True,1.0,7.0
162,20000415,PIT,NYN,True,9.0,10.0
163,20000415,SDN,HOU,False,1.0,3.0
164,20000415,SFN,ARI,True,1.0,7.0
165,20000415,BOS,OAK,True,5.0,5.0
166,20000415,CHA,ANA,True,12.0,4.0
167,20000415,CLE,TEX,True,2.0,5.0
168,20000415,DET,TBA,False,1.0,3.0
169,20000415,MIN,BAL,False,10.0,7.0
170,20000415,NYA,KCA,True,1.0,3.0
171,20000415,TOR,SEA,True,9.0,9.0
172,20000416,CHN,FLO,True,2.0,8.0
173,20000416,COL,SLN,True,2.0,12.0
174,20000416,COL,SLN,False,1.0,13.0
175,20000416,LAN,CIN,True,1.0,8.0
176,20000416,MIL,ATL,True,2.0,8.0
177,20000416,PHI,MON,True,5.0,9.0
178,20000416,PIT,NYN,True,10.0,11.0
179,20000416,SDN,HOU,True,2.0,4.0
180,20000416,BOS,OAK,True,6.0,6.0
181,20000416,CHA,ANA,True,13.0,5.0
182,20000416,CLE,TEX,True,3.0,6.0
183,20000416,DET,TBA,True,2.0,4.0
184,20000416,MIN,BAL,True,11.0,8.0
185,20000416,NYA,KCA,True,2.0,4.0
186,20000416,TOR,SEA,True,10.0,10.0
187,20000417,ARI,COL,False,1.0,2.0
188,20000417,CHN,FLO,True,1.0,9.0
189,20000417,BOS,OAK,True,7.0,7.0
190,20000417,TEX,NYA,False,1.0,3.0
191,20000417,TOR,ANA,False,11.0,6.0
192,20000418,ARI,COL,False,2.0,3.0
193,20000418,ATL,PHI,False,9.0,6.0
194,20000418,CIN,SFN,False,9.0,2.0
195,20000418,FLO,PIT,False,10.0,11.0
196,20000418,LAN,HOU,False,2.0,5.0
197,20000418,MON,CHN,False,10.0,2.0
198,20000418,NYN,MIL,False,12.0,3.0
199,20000418,SLN,SDN,False,14.0,3.0
200,20000418,CHA,SEA,False,14.0,11.0
201,20000418,CLE,OAK,False,4.0,8.0
202,20000418,DET,BOS,False,3.0,8.0
203,20000418,MIN,KCA,False,12.0,5.0
204,20000418,TEX,NYA,False,2.0,4.0
205,20000418,TOR,ANA,False,12.0,7.0
206,20000419,ARI,COL,False,3.0,4.0
207,20000419,ATL,PHI,False,10.0,7.0
208,20000419,CIN,SFN,False,10.0,3.0
209,20000419,FLO,PIT,False,11.0,12.0
210,20000419,LAN,HOU,False,3.0,6.0
211,20000419,MON,CHN,False,11.0,3.0
212,20000419,NYN,MIL,False,13.0,4.0
213,20000419,SLN,SDN,False,15.0,4.0
214,20000419,BAL,TBA,False,9.0,5.0
215,20000419,CHA,SEA,True,1.0,12.0
216,20000419,CLE,OAK,False,1.0,9.0
217,20000419,DET,BOS,False,4.0,9.0
218,20000419,MIN,KCA,False,13.0,6.0
219,20000419,TEX,NYA,True,1.0,5.0
220,20000419,TOR,ANA,False,1.0,8.0
221,20000420,ARI,COL,False,4.0,5.0
222,20000420,ATL,PHI,False,11.0,8.0
223,20000420,CIN,SFN,True,1.0,4.0
224,20000420,FLO,PIT,False,1.0,13.0
225,20000420,MON,CHN,False,12.0,4.0
226,20000420,NYN,MIL,False,14.0,5.0
227,20000420,SLN,SDN,False,16.0,5.0
228,20000420,BAL,TBA,True,1.0,6.0
229,20000420,CLE,OAK,False,1.0,10.0
230,20000420,MIN,KCA,True,1.0,7.0
231,20000420,TOR,ANA,False,1.0,9.0
232,20000421,ARI,SFN,False,5.0,5.0
233,20000421,ATL,PIT,False,12.0,14.0
234,20000421,CIN,LAN,False,2.0,4.0
235,20000421,FLO,PHI,False,2.0,9.0
236,20000421,HOU,SDN,False,7.0,6.0
237,20000421,MON,MIL,False,13.0,6.0
238,20000421,SLN,COL,False,17.0,6.0
239,20000421,CHA,DET,False,2.0,5.0
240,20000421,OAK,BAL,False,11.0,2.0
241,20000421,SEA,KCA,False,13.0,8.0
242,20000421,TBA,ANA,False,7.0,10.0
243,20000421,TEX,MIN,False,2.0,2.0
244,20000421,TOR,NYA,True,1.0,6.0
245,20000422,ARI,SFN,True,6.0,6.0
246,20000422,ATL,PIT,False,1.0,15.0
247,20000422,CIN,LAN,True,1.0,5.0
248,20000422,FLO,PHI,False,1.0,10.0
249,20000422,HOU,SDN,True,1.0,7.0
250,20000422,MON,MIL,False,1.0,7.0
251,20000422,NYN,CHN,True,1.0,5.0
252,20000422,NYN,CHN,True,2.0,6.0
253,20000422,SLN,COL,False,1.0,7.0
254,20000422,CHA,DET,True,1.0,6.0
255,20000422,OAK,BAL,True,12.0,3.0
256,20000422,SEA,KCA,True,14.0,9.0
257,20000422,TBA,ANA,True,8.0,11.0
258,20000422,TEX,MIN,False,1.0,3.0
259,20000422,TOR,NYA,True,1.0,7.0
260,20000423,ARI,SFN,True,7.0,7.0
261,20000423,ATL,PIT,True,2.0,16.0
262,20000423,CIN,LAN,True,2.0,6.0
263,20000423,FLO,PHI,True,2.0,11.0
264,20000423,HOU,SDN,True,2.0,8.0
265,20000423,MON,MIL,True,2.0,8.0
266,20000423,NYN,CHN,True,3.0,7.0
267,20000423,SLN,COL,True,2.0,8.0
268,20000423,CHA,DET,True,2.0,7.0
269,20000423,OAK,BAL,False,1.0,4.0
